Ticker,Description,Change %,"Change 1W, %","Change 1M, %",3-Month Performance,6-Month Performance,YTD Performance,Yearly Performance,Volatility
1000REEFUSDPERP,1000REEF Linear Perpetual Futures Contract,-1.9220406,41.81818182,47.60746148,64.11181244,28.28947368,28.28947368,28.28947368,5.63248503
CHZUSDPERP,CHZ Linear Perpetual Futures Contract,7.94496227,16.97931698,11.71336702,160.94420601,19.68503937,-14.24541608,-26.14637109,11.16111611
APEUSDPERP,APE Linear Perpetual Futures Contract,-1.95555556,-2.73368607,16.10526316,33.6969697,-72.67096135,-72.67096135,-72.67096135,4.7706422
XRPUSDPERP,XRP Linear Perpetual Futures Contract,2.368281,8.27469744,17.57334963,17.93378296,-54.09307876,-53.61147956,-64.26381793,7.26624623
ASTRUSDPERP,ASTR Linear Perpetual Futures Contract,3.46666667,3.46666667,8.68347339,-16.73819742,-75.1759437,-75.1759437,-75.1759437,4.30107527
LINKUSDPERP,LINK Linear Perpetual Futures Contract,-1.0393467,-0.3985056,20.66988533,21.34729176,-46.66933387,-59.08114192,-71.8726921,2.88352093
INJUSDPERP,INJ Linear Perpetual Futures Contract,-2.12765957,-11.44385027,6.63232453,27.38461538,-23.22670376,-23.22670376,-23.22670376,3.35161487
COMPUSDPERP,COMP Linear Perpetual Futures Contract,-0.18348624,-2.68336315,17.11517761,70.26604069,-51.90097259,-72.84751685,-86.46092583,2.50696379
ATOMUSDPERP,ATOM Linear Perpetual Futures Contract,-2.94314789,1.6464582,34.77745811,135.69103285,-42.91039427,-51.08108108,-60.87159457,4.82243229
C98USDPERP,C98 Linear Perpetual Futures Contract,-2.43632337,-0.56433409,0.57077626,-10.92012133,-30.07936508,-30.07936508,-30.07936508,4.24311927
XLMUSDPERP,XLM Linear Perpetual Futures Contract,0.70546737,-0.17482517,9.59692898,-0.17482517,-44.01960784,-57.22846442,-64.60012399,3.80434783
1000HOTUSDPERP,1000HOT Linear Perpetual Futures Contract,0.04670715,-0.55710306,3.0798845,5.1030422,-15.10107015,-15.10107015,-15.10107015,1.84746566
COTIUSDPERP,COTI Linear Perpetual Futures Contract,1.25130344,-2.51004016,8.37053571,8.85650224,-19.28512053,-19.28512053,-19.28512053,3.26659642
1000000NFTUSDPERP,1000000NFT Linear Perpetual Futures Contract,-0.52173913,-1.71821306,-2.05479452,-4.02684564,-63.38028169,-63.38028169,-63.38028169,1.05448155
GOLDUSDPERP,GOLD Linear Perpetual Futures Contract,-0.23624402,-2.78012531,-2.29895156,-9.13770563,-13.86708665,-8.83727285,-4.78894946,0.29976019
1INCHUSDPERP,1INCH Linear Perpetual Futures Contract,1.35242641,-1.62162162,-3.7037037,10.01727116,-34.90035769,-34.90035769,-34.90035769,2.57441673
ONEUSDPERP,ONE Linear Perpetual Futures Contract,0,-2.31481481,-0.93896714,-21.26865672,-79.65284474,-79.65284474,-79.65284474,1.4354067
ALGOUSDPERP,ALGO Linear Perpetual Futures Contract,0.0965251,-4.83328235,7.83362218,-0.98663272,-62.41391809,-81.2466092,-85.00506097,1.56555773
SOLUSDPERP,SOL Linear Perpetual Futures Contract,0.58823529,-3.27667476,7.53692234,-1.06364327,-61.75015251,-80.10436132,-79.99385481,2.09739634
TRXUSDPERP,TRX Linear Perpetual Futures Contract,0,-3.1152648,-1.73775671,1.63398693,0.48465267,-17.5066313,-41.20982987,0.97087379
BNXUSDPERP,BNX Linear Perpetual Futures Contract,3.03897033,-7.95273076,10.33690658,3.29749104,14.3197144,14.3197144,14.3197144,4.67222021
MTLUSDPERP,MTL Linear Perpetual Futures Contract,-0.59171598,-6.1452514,-2.3255814,-5.99520384,-13.7829912,-13.7829912,-13.7829912,1.45797599
ADAUSDPERP,ADA Linear Perpetual Futures Contract,0.45193098,-4.2115573,9.73967684,0.94962841,-46.64484452,-62.65179867,-79.38187798,1.995842
100IOSTUSDPERP,100IOST Linear Perpetual Futures Contract,-0.78369906,-5.80357143,-2.5404157,-8.12772134,-53.99709302,-53.99709302,-53.99709302,1.10935024
EGLDUSDPERP,EGLD Linear Perpetual Futures Contract,-0.09784736,-3.22274882,-2.66920877,-3.49716446,-66.2590879,-66.2590879,-66.2590879,1.47492625
DOGEUSDPERP,DOGE Linear Perpetual Futures Contract,-1.28617363,-3.61067504,0.16313214,1.82421227,-48.48993289,-63.92479436,-74.56503728,1.46818923
100ACHUSDPERP,100ACH Linear Perpetual Futures Contract,-0.96076861,-6.50037793,-6.35881908,0.324412,-31.61967938,-31.61967938,-31.61967938,1.05092967
1000RSRUSDPERP,1000RSR Linear Perpetual Futures Contract,-0.08416092,-4.28893905,-4.13436693,-7.65401369,-20.42895442,-20.42895442,-20.42895442,1.54237288
100ROSEUSDPERP,100ROSE Linear Perpetual Futures Contract,0.03209758,-4.22556853,0.46744036,18.74642789,18.74642789,18.74642789,18.74642789,1.23196628
OMGUSDPERP,OMG Linear Perpetual Futures Contract,-0.38230475,-5.59006211,1.7289459,0.38525041,-57.27336613,-57.27336613,-57.27336613,1.88679245
CVCUSDPERP,CVC Linear Perpetual Futures Contract,-0.28288543,-7.29783037,-2.62430939,5.69715142,-16.61738616,-16.61738616,-16.61738616,1.35908441
DODOUSDPERP,DODO Linear Perpetual Futures Contract,-0.78554595,-5.39325843,-0.86342229,5.60200669,-26.44146768,-26.44146768,-26.44146768,1.75438596
ENJUSDPERP,ENJ Linear Perpetual Futures Contract,0.15564202,-5.26315789,-0.32913843,16.52331372,-64.15790573,-80.05269684,-68.74506709,1.78922532
DAOUSDPERP,DAO Linear Perpetual Futures Contract,0.66626287,-5.1369863,-2.23529412,26.19589977,-42.33171409,-42.33171409,-42.33171409,1.03217972
BNBUSDPERP,BNB Linear Perpetual Futures Contract,-0.35823034,-5.8554747,-0.39391226,29.55286446,-30.88582433,-30.88582433,-30.88582433,0.97666848
THETAUSDPERP,THETA Linear Perpetual Futures Contract,-0.71364853,-5.51782683,-3.96893874,-8.69565217,-60.44776119,-60.44776119,-60.44776119,1.62895928
1000DENTUSDPERP,1000DENT Linear Perpetual Futures Contract,0,-4.99021526,2.42616034,12.12471132,-23.54330709,-23.54330709,-23.54330709,1.46290491
IMXUSDPERP,IMX Linear Perpetual Futures Contract,0.74257426,-5.89595376,-1.92771084,5.03225806,-53.29890993,-53.29890993,-53.29890993,2.63157895
ONTUSDPERP,ONT Linear Perpetual Futures Contract,-0.16913319,-6.56905421,-3.39607201,6.92934783,-54.25305173,-64.2218518,-76.64688427,1.41267123
XMRUSDPERP,XMR Linear Perpetual Futures Contract,0.30535387,-6.97879303,-0.87178112,29.3942577,-22.7408143,-35.36793319,-45.66839416,1.82401967
100XEMUSDPERP,100XEM Linear Perpetual Futures Contract,0.11682243,-8.14576635,-2.50284414,7.125,-15.39980257,-15.39980257,-15.39980257,2.49702735
100VETUSDPERP,100VET Linear Perpetual Futures Contract,-1.19341564,-6.72105672,-0.90796533,4.43671161,-54.79194125,-54.79194125,-54.79194125,2.18579235
XTZUSDPERP,XTZ Linear Perpetual Futures Contract,0.25806452,-7.55502677,3.05039788,12.04037491,-51.97775031,-64.19354839,-75.74149235,2.16251638
SRMUSDPERP,SRM Linear Perpetual Futures Contract,0,-6.05355064,3.59435173,-5.83430572,-63.11700183,-63.11700183,-63.11700183,1.50564617
ARUSDPERP,AR Linear Perpetual Futures Contract,1.08108108,-8.69951176,3.21123934,19.38479396,-31.86485591,-31.86485591,-31.86485591,4.9851925
CTKUSDPERP,CTK Linear Perpetual Futures Contract,1.1627907,-6.26836435,5.39647577,18.14814815,11.79906542,11.79906542,11.79906542,2.33793836
100IOTXUSDPERP,100IOTX Linear Perpetual Futures Contract,-0.64824292,-5.54654557,-3.22366235,14.10658307,-28.32882107,-28.32882107,-28.32882107,1.27850726
GRTUSDPERP,GRT Linear Perpetual Futures Contract,0,-7.01454234,6.15234375,5.84225901,-73.62290706,-83.1394447,-86.99916278,1.77073625
ENSUSDPERP,ENS Linear Perpetual Futures Contract,-0.65426997,-8.32538926,15.72402728,61.53415454,22.50530786,22.50530786,22.50530786,2.6065516
GALAUSDPERP,GALA Linear Perpetual Futures Contract,-1.42857143,-7.29366603,-3.97614314,-14.20959147,-72.09705373,-72.09705373,-72.09705373,2.29166667
BTCUSDPERP,BTC Linear Perpetual Futures Contract,-0.27852382,-8.15181291,0.00748186,-2.45445036,-51.10948549,-56.6050191,-52.58085496,0.86520376
BATUSDPERP,BAT Linear Perpetual Futures Contract,-0.94110504,-7.19567691,-2.50971019,-3.83141762,-59.98283051,-72.9323932,-56.7642772,1.41538462
SANDUSDPERP,SAND Linear Perpetual Futures Contract,0,-6.46153846,-3.2873807,6.91676436,-64.56876457,-64.56876457,-64.56876457,2.45535714
FOOTBALLUSDPERP,FOOTBALL Linear Perpetual Futures Contract,2.02773326,-9.6754294,,-9.72395934,-9.72395934,-9.72395934,-9.72395934,5.67286575
ZRXUSDPERP,ZRX Linear Perpetual Futures Contract,-0.82474227,-7.67754319,-3.08932169,9.11153119,-29.33398629,-29.33398629,-29.33398629,1.4998256
MANAUSDPERP,MANA Linear Perpetual Futures Contract,-0.15942607,-6.56471466,-2.73103805,-9.118394,-68.71747908,-77.00358028,-8.56551892,1.33154001
FILUSDPERP,FIL Linear Perpetual Futures Contract,-1.01522843,-8.87850467,1.73913043,6.75182482,-67.22689076,-82.90972831,-93.06214421,1.71821306
NEOUSDPERP,NEO Linear Perpetual Futures Contract,0.22050717,-7.15015322,0.66445183,0.44198895,-59.67169476,-64.58901441,-81.70289855,1.3363029
ZILUSDPERP,ZIL Linear Perpetual Futures Contract,-0.86206897,-8,-4.43213296,1.47058824,-63.91213389,-63.91213389,-63.91213389,1.74927114
KNCUSDPERP,KNC Linear Perpetual Futures Contract,-1.31233596,-6.56063618,8.7962963,43.6210848,-65.37115491,-65.37115491,-65.37115491,2.76890309
ALICEUSDPERP,ALICE Linear Perpetual Futures Contract,-0.14778325,-7.82173715,0.64548163,-8.48758465,-67.4010936,-67.4010936,-67.4010936,1.39026812
FTMUSDPERP,FTM Linear Perpetual Futures Contract,-0.0793336,-7.5256975,-7.86393563,4.22010757,-74.93532338,-74.93532338,-74.93532338,1.56
BCHUSDPERP,BCH Linear Perpetual Futures Contract,-0.45100451,-6.72301191,5.65709312,0.91438071,-63.739546,-71.8362139,-80.76831683,1.6243232
100PEOPLEUSDPERP,100PEOPLE Linear Perpetual Futures Contract,0.85673489,-9.01674538,4.79723046,-22.12421904,-55.1059322,-55.1059322,-55.1059322,2.58868648
STORJUSDPERP,STORJ Linear Perpetual Futures Contract,-0.31403337,-8.28819068,-7.70488824,-4.00680401,-10.37586024,-10.37586024,-10.37586024,1.54700516
WOOUSDPERP,WOO Linear Perpetual Futures Contract,-0.86321381,-9.29526124,-0.20053476,-14.73443746,-8.79657911,-8.79657911,-8.79657911,1.96211096
QTUMUSDPERP,QTUM Linear Perpetual Futures Contract,-0.55230669,-7.18617344,-1.79659929,11.47123088,-55.25507967,-64.88873595,-75.63092111,1.9828156
100LINAUSDPERP,100LINA Linear Perpetual Futures Contract,1.53846154,-8.65051903,-1.24688279,-4.80769231,-23.62584378,-23.62584378,-23.62584378,2.58732212
100ARPAUSDPERP,100ARPA Linear Perpetual Futures Contract,0.08368201,-8.37589377,2.28050171,27.50533049,-6.39186016,-6.39186016,-6.39186016,1.09458322
100JASMYUSDPERP,100JASMY Linear Perpetual Futures Contract,-0.34924331,-9.12951168,-0.34924331,-13.53535354,-59.41204362,-59.41204362,-59.41204362,1.65484634
SXPUSDPERP,SXP Linear Perpetual Futures Contract,-0.55944056,-8.13953488,-3.13351499,-4.43548387,-28.75751503,-28.75751503,-28.75751503,1.27118644
SFPUSDPERP,SFP Linear Perpetual Futures Contract,-0.51448687,-6.41874682,-7.31584258,11.06408706,-20.28639618,-20.28639618,-20.28639618,1.64473684
DASHUSDPERP,DASH Linear Perpetual Futures Contract,-0.33670034,-7.97927461,-0.04502476,0.40705563,-54.08954607,-54.08954607,-54.08954607,1.45686319
MINAUSDPERP,MINA Linear Perpetual Futures Contract,0.48231511,-9.02474527,-6.29685157,0.32102729,-32.867884,-32.867884,-32.867884,3.0995106
KAVAUSDPERP,KAVA Linear Perpetual Futures Contract,-0.56074766,-7.31707317,-10.28667791,0.25125628,-38.11554866,-38.11554866,-38.11554866,1.32575758
CELOUSDPERP,CELO Linear Perpetual Futures Contract,-0.85889571,-8.59728507,-2.5331725,-3.80952381,-42.57285004,-42.57285004,-42.57285004,1.74563591
LITUSDPERP,LIT Linear Perpetual Futures Contract,-1.73913043,-8.87096774,-5.43933054,-28.1779661,-1.59651669,-1.59651669,-1.59651669,1.7699115
NEARUSDPERP,NEAR Linear Perpetual Futures Contract,-0.11428571,-10.54247697,0.11454754,33.02891933,-66.26785025,-66.26785025,-66.26785025,1.50289017
MATICUSDPERP,MATIC Linear Perpetual Futures Contract,-0.96618357,-8.37988827,-1.44230769,114.09921671,-35.48387097,-35.48387097,-35.48387097,1.47058824
AVAXUSDPERP,AVAX Linear Perpetual Futures Contract,0.10840108,-10.72982117,-3.34903192,14.57816377,-73.72314696,-73.72314696,-73.72314696,2.40568617
AXSUSDPERP,AXS Linear Perpetual Futures Contract,0.53191489,-8.63259669,-6.03693182,-3.78181818,-66.4893617,-66.4893617,-66.4893617,1.53491942
KLAYUSDPERP,KLAY Linear Perpetual Futures Contract,-0.67146283,-9.40507437,-9.91735537,-16.22168285,-75.82584335,-75.82584335,-75.82584335,1.26091174
LTCUSDPERP,LTC Linear Perpetual Futures Contract,-1.34901418,-8.34002892,5.92386258,5.27870063,-50.82334684,-60.97160452,-68.54874283,2.02929239
YFIIUSDPERP,YFII Linear Perpetual Futures Contract,-1.88577586,-10.2955665,-8.5384229,-43.9864657,-43.9864657,-43.9864657,-43.9864657,4.24343942
LRCUSDPERP,LRC Linear Perpetual Futures Contract,-0.54331422,-9.05327077,-6.36544473,-10.4862809,-61.53846154,-61.53846154,-61.53846154,1.62576687
GMTUSDPERP,GMT Linear Perpetual Futures Contract,-0.73746313,-8.3106267,0.44776119,-9.78552279,-83.08195073,-83.08195073,-83.08195073,3.14842579
DOTUSDPERP,DOT Linear Perpetual Futures Contract,-0.75102735,-9.03896104,-0.25633723,-6.63822981,-62.62141104,-73.85884373,-79.9478943,1.61151079
100CELRUSDPERP,100CELR Linear Perpetual Futures Contract,-0.70671378,-9.35483871,-2.4869867,19.4897236,-6.64451827,-6.64451827,-6.64451827,1.55131265
UNIUSDPERP,UNI Linear Perpetual Futures Contract,-0.16636167,-7.52041917,-2.21606648,43.29035339,-35.70127505,-64.73526474,-75.57391729,1.59771275
100ANKRUSDPERP,100ANKR Linear Perpetual Futures Contract,-1.16177752,-10.04493788,-3.76131222,22.14644652,-10.91623037,-10.91623037,-10.91623037,1.68191207
FLMUSDPERP,FLM Linear Perpetual Futures Contract,1.10803324,-8.82597835,-4.61672474,-42.73012552,-42.73012552,-42.73012552,-42.73012552,2.23880597
100000SHIBUSDPERP,100000SHIB Linear Perpetual Futures Contract,-0.58626466,-8.83256528,-1.90082645,44.75609756,-49.14310197,-49.14310197,-49.14310197,1.35249366
ZECUSDPERP,ZEC Linear Perpetual Futures Contract,-0.30643514,-9.02594376,-2.15538847,-13.18013343,-67.69638129,-60.03821482,-57.79763621,1.53633696
CHRUSDPERP,CHR Linear Perpetual Futures Contract,-0.95294818,-9.47196516,-7.76483638,-3.65005794,-27.97747943,-27.97747943,-27.97747943,2.18844985
SNXUSDPERP,SNX Linear Perpetual Futures Contract,-1.02526547,-8.68243243,-8.65157148,29.76476236,-45.5808335,-50.84560829,-78.54761905,2.27952167
GALUSDPERP,GAL Linear Perpetual Futures Contract,1.31332083,-12.05211726,8.65191147,-2.7027027,-74.89539749,-74.89539749,-74.89539749,5.32319392
ALPHAUSDPERP,ALPHA Linear Perpetual Futures Contract,-0.60501296,-11.47036182,-5.505341,-26.56449553,-26.56449553,-26.56449553,-26.56449553,1.48861646
MKRUSDPERP,MKR Linear Perpetual Futures Contract,-0.78763127,-9.73991507,-10.3938875,-24.65662384,-65.92867161,-70.90675791,-76.04507836,1.52434512
ZENUSDPERP,ZEN Linear Perpetual Futures Contract,-0.06706908,-9.58737864,-4.42591405,6.73352436,-30.04694836,-30.04694836,-30.04694836,1.83299389
GLMRUSDPERP,GLMR Linear Perpetual Futures Contract,-2.734375,-16.16161616,-5.32319392,-23.50230415,-84.29022082,-84.29022082,-84.29022082,4.82897384
100SLPUSDPERP,100SLP Linear Perpetual Futures Contract,-1.36239782,-10.17369727,-6.94087404,1.40056022,-74.50704225,-74.50704225,-74.50704225,1.93905817
OGNUSDPERP,OGN Linear Perpetual Futures Contract,-0.31367629,-10.57962859,-5.80912863,-39.25840979,-28.06699864,-28.06699864,-28.06699864,1.77552315
API3USDPERP,API3 Linear Perpetual Futures Contract,-1.42945929,-13.71055495,-3.76213592,13.12410842,-5.14354067,-5.14354067,-5.14354067,3.09930424
MOVRUSDPERP,MOVR Linear Perpetual Futures Contract,0.25402202,-8.1458495,-2.71158587,4.13368514,-47.58742807,-47.58742807,-47.58742807,3.70689655
TOMOUSDPERP,TOMO Linear Perpetual Futures Contract,-0.32051282,-10.88825215,-7.89733465,4.83146067,-23.6497545,-23.6497545,-23.6497545,1.62689805
OCEANUSDPERP,OCEAN Linear Perpetual Futures Contract,-0.37174721,-11.01272828,-0.61804697,-10.66666667,-27.76280323,-27.76280323,-27.76280323,1.44020038
LDOUSDPERP,LDO Linear Perpetual Futures Contract,-0.92226614,-10.0693614,-4.81012658,-6.32785252,-6.32785252,-6.32785252,-6.32785252,3.60311912
FTTUSDPERP,FTT Linear Perpetual Futures Contract,-0.44733632,-12.13208902,-8.31460674,-1.96235483,-39.36091157,-39.36091157,-39.36091157,1.1914544
RAYUSDPERP,RAY Linear Perpetual Futures Contract,-1.93548387,-9.92592593,-8.43373494,-13.26676177,-38.08553971,-38.08553971,-38.08553971,2.30642504
LPTUSDPERP,LPT Linear Perpetual Futures Contract,-0.10384216,-14.48888889,-4.56349206,27.08058124,-26.50878533,-26.50878533,-26.50878533,1.36268344
WAVESUSDPERP,WAVES Linear Perpetual Futures Contract,-0.456621,-11.38211382,-3.11111111,-8.97703549,-73.41463415,-73.41463415,-73.41463415,1.62412993
RUNEUSDPERP,RUNE Linear Perpetual Futures Contract,-0.94602115,-11.35458167,-7.00104493,0,-77.20578819,-77.20578819,-77.20578819,1.75339367
MASKUSDPERP,MASK Linear Perpetual Futures Contract,-2.19198791,-11.00412655,-1.74639332,-8.61581921,-33.43621399,-33.43621399,-33.43621399,2.63157895
1000SPELLUSDPERP,1000SPELL Linear Perpetual Futures Contract,-0.08285004,-12.03501094,-9.86547085,-26.99757869,-26.99757869,-26.99757869,-26.99757869,1.5
RENUSDPERP,REN Linear Perpetual Futures Contract,-0.94909405,-12.5,-3.77200335,8.91840607,-22.37998648,-22.37998648,-22.37998648,1.92475941
AUDIOUSDPERP,AUDIO Linear Perpetual Futures Contract,-0.23923445,-11.49628582,-10.35471157,-18.31537708,-41.41887146,-41.41887146,-41.41887146,1.37262818
YFIUSDPERP,YFI Linear Perpetual Futures Contract,-2.92146878,-11.29071761,0.55524708,91.19510135,-55.53973437,-72.73781029,-73.29578129,4.3088571
AAVEUSDPERP,AAVE Linear Perpetual Futures Contract,-1.24984683,-12.04845575,-5.07656066,49.57312546,-47.53596771,-68.36133794,-77.37189386,2.4756189
ICPUSDPERP,ICP Linear Perpetual Futures Contract,-1.74326466,-13.64902507,-0.64102564,12.93260474,-59.97417689,-59.97417689,-59.97417689,2.10355987
1000LEVERUSDPERP,1000LEVER Linear Perpetual Futures Contract,-1.19047619,-11.70212766,-6.56660413,-37.67209011,-37.67209011,-37.67209011,-37.67209011,2.57836198
SUSHIUSDPERP,SUSHI Linear Perpetual Futures Contract,-2.03562341,-11.15384615,11.70212766,10.95100865,-65.01060285,-87.75185578,-90.92409241,2.87456446
ETCUSDPERP,ETC Linear Perpetual Futures Contract,-1.42400465,-11.91898208,4.6267736,120.68965517,7.75095299,7.75095299,7.75095299,2.19714964
DYDXUSDPERP,DYDX Linear Perpetual Futures Contract,-0.92790864,-15.36585366,-8.80420499,10.33386328,-67.41019019,-67.41019019,-67.41019019,1.73787111
CRVUSDPERP,CRV Linear Perpetual Futures Contract,-1.47194112,-9.46745562,-6.70731707,66.562986,-57.65124555,-57.65124555,-57.65124555,2.06185567
YGGUSDPERP,YGG Linear Perpetual Futures Contract,-1.78571429,-15.22157996,-7.56302521,19.24119241,-31.88854489,-31.88854489,-31.88854489,2.98165138
BAKEUSDPERP,BAKE Linear Perpetual Futures Contract,-0.04251701,-12.47207744,-6.48369133,-0.67596113,-30.05058018,-30.05058018,-30.05058018,1.59003008
KSMUSDPERP,KSM Linear Perpetual Futures Contract,-0.69289227,-14.42604006,-6.14702155,-12.53937008,-71.37242268,-83.93999639,-89.38604873,1.65833712
GTCUSDPERP,GTC Linear Perpetual Futures Contract,0.15151515,-14.78298238,-7.3364486,-16.57551536,-27.75956284,-27.75956284,-27.75956284,1.83955033
CVXUSDPERP,CVX Linear Perpetual Futures Contract,-0.20618557,-12.94964029,-4.34782609,24.42159383,-52.26824458,-52.26824458,-52.26824458,1.87891441
AGLDUSDPERP,AGLD Linear Perpetual Futures Contract,-0.84364454,-16.83962264,1.52605816,19.16187901,-35.79752367,-35.79752367,-35.79752367,2.23112128
BITUSDPERP,BIT Linear Perpetual Futures Contract,-0.74626866,-14.74358974,-11.62790698,22.86374134,-32.31552163,-32.31552163,-32.31552163,2.84090909
100RVNUSDPERP,100RVN Linear Perpetual Futures Contract,-1.56442981,-7.2356935,67.49562172,130.12512031,63.43130554,63.43130554,63.43130554,7.47543785
SKLUSDPERP,SKL Linear Perpetual Futures Contract,0.95238095,-15.36926148,-12.75720165,-16.53543307,-76.29960872,-76.29960872,-76.29960872,2.89855072
EOSUSDPERP,EOS Linear Perpetual Futures Contract,-1.43051771,-15.47897196,5.54339898,49.79296066,-38.39931886,-52.2599802,-73.55145312,2.93911826
ETHUSDPERP,ETH Linear Perpetual Futures Contract,-0.83075142,-17.57598053,-6.26568836,29.29243608,-49.60988184,-60.37789749,-57.62112615,1.64013841
OPUSDPERP,OP Linear Perpetual Futures Contract,-1.43413598,-20.50549764,-1.25931181,119.47565543,129.66171617,129.66171617,129.66171617,2.54535608
ILVUSDPERP,ILV Linear Perpetual Futures Contract,-2.02177294,-19.12708601,-19.02313625,-62.07104154,-78.36538462,-78.36538462,-78.36538462,3.70967742
BALUSDPERP,BAL Linear Perpetual Futures Contract,0,-20.6485771,-15.32485876,37.02857143,-19.25925926,-19.25925926,-19.25925926,2.02702703
HNTUSDPERP,HNT Linear Perpetual Futures Contract,-0.20380435,-15.2173913,-16.21673004,-46.54294032,-46.54294032,-46.54294032,-46.54294032,3.2565713
STGUSDPERP,STG Linear Perpetual Futures Contract,1.18904015,-19.36281241,-11.73906508,-44.66641538,-44.66641538,-44.66641538,-44.66641538,3.74695016